,playerID,Player,H,HR,ER,BB,SO,HBP,R
450,matzst01,Steven Matz,89.9344313912756,13.445444287416066,44.877184895203854,27.407605873926432,87.88192430347873,3.7956116155778115,47.7582655409415
180,diazed04,Edwin Diaz,46.834175744219564,5.49056027677034,21.32607556131618,22.34409428932786,87.37854451888491,4.1288446616377845,23.287200680246404
12,alexaty01,Tyler Alexander,108.90660759990455,17.51770784323924,52.74906439594102,32.17919443001005,86.5820538975883,3.798888587048169,56.4984157755922
780,willitr01,Trevor Williams,91.50403303533905,12.93541902287923,41.03127345934418,29.83233383924106,85.82226817049336,4.188427719562565,45.28614774360265
774,whitlga01,Garrett Whitlock,71.08134215207501,9.764630329269732,30.954778319509497,22.352375016899998,85.53682616337005,2.7979204300910117,34.72100673905514
732,urenajo01,Jose Urena,120.67243448385408,14.801673172088433,63.18521086991089,47.92148423705975,85.28119825952645,3.8486411617039122,70.09032929623073
433,mannima01,Matt Manning,94.40821449801605,11.666244526850656,48.49189800443702,35.19043342880964,85.21160788516234,3.51398351778737,53.05892924485144
441,martiad01,Adrian Martinez,90.58661652110061,14.63426269672866,48.477082888810266,30.74236608985695,85.03108548020057,4.440063697864784,52.06069894156883
759,watkisp01,Spenser Watkins,124.38014691327301,16.076380517594544,64.68372926522454,37.8520126519628,84.79398116965099,4.8860221725850055,69.02137686280827
87,briesbe01,Beau Brieske,89.6692662382795,14.706633686325231,45.56792353161724,33.21844903707459,84.56396405352123,3.097504962125323,48.432217264649374
228,flaheja01,Jack Flaherty,71.74977796871893,11.418171647235257,36.90676453902996,34.0561068342865,84.18917556672424,6.3114138580723065,41.08434078815669
805,zimmebr02,Bruce Zimmermann,109.33465022766273,20.597457710449582,55.67949601794596,28.73859071773075,84.04451649109133,4.0210879273285,59.3246564885002
740,velasvi01,Vince Velasquez,79.02217505901635,14.432036789345055,47.678326407240846,34.80820419803768,83.82112873519476,3.6322017000801132,50.29799487938895
152,crawfku01,Kutter Crawford,82.43207351276448,11.933869977852194,45.296697185747824,31.19603974069136,83.18086465998468,3.1622176004680096,48.26096649880265
469,megilty01,Tylor Megill,74.74603931025436,12.873618928475157,39.93308213777477,25.95442494995258,82.79716286547126,2.7281350995830334,41.7835181829651
61,bellobr01,Brayan Bello,86.95284937941568,6.683857400002332,39.10442722256604,32.9419865592248,82.49940803816835,3.5322869505109424,43.539655330254924
779,willide03,Devin Williams,43.799901849807945,5.528889754167289,20.431591348245604,26.929422162409786,81.10512121977135,2.8834458640014726,23.68739547360405
451,maydu01,Dustin May,64.26868446912502,10.503387738229415,33.692148552823795,28.656756608758577,79.84550341089076,5.306766672859197,37.36661748586943
175,desclan01,Anthony DeSclafani,85.00396668378586,12.17789441855066,40.36024732692153,27.43123389150007,79.82025555462513,3.007387928890584,45.09134530142798
201,elderbr01,Bryce Elder,71.60130442933536,8.60814752997767,33.741774080436265,31.457136074316907,79.79773887795974,4.205456442132774,35.966772972433446
796,yarbrry01,Ryan Yarbrough,99.50942473657994,14.513133078324442,50.32283095895577,26.337565169684204,79.56760011286572,8.128541187626821,54.85679233511417
542,paddach01,Chris Paddack,81.6751761124144,11.054670783345902,42.02112363764809,22.09558493269715,79.50963472578908,2.7701859281620336,45.52119796677004
211,faedoal01,Alex Faedo,87.93011593032878,11.05534907689382,44.670976090088665,34.81959769324756,79.39038966089751,3.246806511455961,47.67104523898216
621,ryuhy01,Hyun Jin Ryu,91.45147311677873,13.364022510204965,45.30043510219336,25.571951059172857,79.3820777146183,2.3018549266437702,47.778465925036215
317,hernael01,Elieser Hernandez,77.7605329857322,16.963601329152976,42.74866912416452,27.01624014262919,79.35423241072361,4.552800502654597,46.693221339555926
371,keuchda01,Dallas Keuchel,124.81211775424619,16.166428443243323,68.30065060099352,43.631259849177894,79.34604754449467,3.6194216399412324,75.45216576507136
55,bazsh01,Shane Baz,65.96346062395072,10.875793825737787,33.8757047693648,25.415784987616107,79.30883855671902,3.148298753107962,36.15833046353184
446,martini01,Nick Martinez,79.17802818321972,11.765594161983271,36.400974516883956,32.868566095666,78.42888943898619,3.7477365488670142,39.512847258669154
340,hutchdr01,Drew Hutchison,104.25131108966995,13.612055558305865,48.71693808495125,41.20060209507182,78.06863475275819,3.1867532474191034,55.25628072175653
626,sanchan01,Anibal Sanchez,89.20667635573895,15.936115655641014,48.85919220556031,40.41464040249327,77.94061274322998,5.306572354347846,51.82544192357016
566,pinedmi01,Michael Pineda,99.19148428141372,16.416878353150185,46.811956525400305,25.778510739031418,77.53515126192211,2.727629148550481,50.51579431146351
308,hendrli01,Liam Hendriks,49.33433696249136,8.278961284096933,23.08707746079635,16.9520162178297,77.4586629578054,2.1992444771176696,26.27715056047101
784,winckjo01,Josh Winckowski,95.2568407555709,12.157205431859692,49.58617600533561,33.92788192559842,77.37651405299948,3.6380020485044944,52.41383997696851
